experience,age,governorate,disability,education,gender,clusters,nodes,durations
1,20,amman,no_disability,secondary_or_below,male,1,12,3.0666666
0,20,maadaba,no_disability,secondary_or_below,male,1,2,9.514779
0,20,amman,no_disability,secondary_or_below,male,1,8,9.94707
1,20,amman,no_disability,secondary_or_below,male,1,12,2.0333333
0,20,irbid,no_disability,secondary_or_below,male,1,0,11.58483
1,20,zarqa,no_disability,bachelor_or_above,male,0,14,3.0666666
0,20,maadaba,no_disability,secondary_or_below,male,1,2,14.885677
0,20,amman,no_disability,secondary_or_below,male,1,8,10.819857
0,20,amman,no_disability,secondary_or_below,male,1,8,6.0666666
0,20,irbid,no_disability,secondary_or_below,male,1,0,2.0333333
1,20,amman,no_disability,secondary_or_below,male,1,12,4.0666666
1,20,amman,no_disability,secondary_or_below,male,1,12,14.2
0,20,zarqa,no_disability,vocational_training,male,1,5,7.8817058
0,20,amman,no_disability,secondary_or_below,male,1,8,12.782357
0,20,amman,no_disability,secondary_or_below,male,1,8,4.0666666
0,20,irbid,no_disability,secondary_or_below,male,1,0,16.753256
0,20,balqa,no_disability,vocational_training,male,1,0,5.7174478
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,9.388281
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,2.0333333
0,20,amman,no_disability,secondary_or_below,male,1,8,34.466667
1,20,amman,no_disability,vocational_training,male,1,12,4.0666666
0,20,zarqa,no_disability,secondary_or_below,male,1,5,13.751562
0,20,amman,no_disability,secondary_or_below,male,1,8,27.4
0,20,irbid,no_disability,secondary_or_below,male,1,0,9.853385
1,20,zarqa,no_disability,secondary_or_below,male,1,10,6.0333333
0,20,amman,no_disability,secondary_or_below,male,1,8,2.9172525
0,20,zarqa,no_disability,secondary_or_below,male,1,5,16.71263
0,20,irbid,no_disability,secondary_or_below,male,1,0,2.9464192
0,20,amman,no_disability,secondary_or_below,male,1,8,11.166667
0,20,amman,no_disability,secondary_or_below,male,1,8,2.0666666
0,20,amman,no_disability,secondary_or_below,male,1,8,5.1861978
0,20,amman,no_disability,secondary_or_below,male,1,8,8.066667
1,20,amman,no_disability,secondary_or_below,male,1,12,8.1
0,20,amman,no_disability,secondary_or_below,male,1,8,22.752344
0,20,tafileh,no_disability,secondary_or_below,male,1,2,7.0666666
0,20,amman,no_disability,secondary_or_below,male,1,8,2.0333333
0,20,amman,no_disability,secondary_or_below,male,1,8,13.049024
0,20,amman,no_disability,secondary_or_below,male,1,8,5.8511066
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,12.816602
0,20,amman,no_disability,secondary_or_below,male,1,8,31.466667
0,20,zarqa,no_disability,secondary_or_below,male,1,5,6.1
0,20,maadaba,no_disability,secondary_or_below,male,1,2,13.284961
0,20,amman,no_disability,secondary_or_below,male,1,8,13.65306
0,20,irbid,no_disability,secondary_or_below,male,1,0,15.2
0,20,amman,no_disability,secondary_or_below,male,1,8,13.38457
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,11.133333
0,20,amman,no_disability,secondary_or_below,male,1,8,9.283594
0,20,zarqa,no_disability,secondary_or_below,male,1,5,10.384896
0,20,zarqa,no_disability,secondary_or_below,male,1,5,5.0333333
0,20,zarqa,no_disability,secondary_or_below,male,1,5,9.379687
0,20,amman,no_disability,secondary_or_below,male,1,8,19.233334
0,20,amman,no_disability,secondary_or_below,male,1,8,8.066667
0,20,irbid,no_disability,secondary_or_below,male,1,0,12.746224
0,20,al_aqaba,no_disability,bachelor_or_above,male,2,7,6.2539716
0,20,amman,no_disability,secondary_or_below,male,1,8,2.0333333
0,20,zarqa,no_disability,vocational_training,male,1,5,21.116861
0,20,zarqa,no_disability,secondary_or_below,male,1,5,4.081315
0,20,zarqa,no_disability,secondary_or_below,male,1,5,2.0333333
0,20,amman,no_disability,secondary_or_below,male,1,8,15.480404
0,20,amman,no_disability,secondary_or_below,male,1,8,5.1
5,20,amman,no_disability,secondary_or_below,male,0,20,3.0666666
0,20,amman,no_disability,secondary_or_below,male,1,8,2.0333333
1,20,amman,no_disability,secondary_or_below,male,1,12,4.1
0,20,zarqa,no_disability,vocational_training,male,1,5,3.8160808
1,20,ajloun,no_disability,vocational_training,male,1,12,10.133333
0,20,al_mafraq,no_disability,secondary_or_below,male,1,8,12.11836
0,20,irbid,no_disability,secondary_or_below,male,1,0,12.515104
0,20,maadaba,no_disability,secondary_or_below,male,1,2,12.85358
0,20,irbid,no_disability,vocational_training,male,1,0,14.848698
1,20,zarqa,no_disability,secondary_or_below,male,1,10,2.0333333
1,20,zarqa,no_disability,secondary_or_below,male,1,10,4.0666666
1,20,zarqa,no_disability,secondary_or_below,male,1,10,5.0333333
1,20,zarqa,no_disability,secondary_or_below,male,1,10,2.0333333
1,20,zarqa,no_disability,secondary_or_below,male,1,10,2.0333333
5,20,zarqa,no_disability,secondary_or_below,male,0,17,6.1
0,20,amman,no_disability,secondary_or_below,male,1,8,4.1
1,20,amman,no_disability,secondary_or_below,male,1,12,3.0666666
0,20,zarqa,no_disability,vocational_training,male,1,5,13.483007
0,20,amman,no_disability,secondary_or_below,male,1,8,16.750586
0,20,amman,no_disability,secondary_or_below,male,1,8,6.0333333
0,20,amman,no_disability,secondary_or_below,male,1,8,11.133333
1,20,amman,no_disability,secondary_or_below,male,1,12,3.0333333
0,20,irbid,no_disability,secondary_or_below,male,1,0,2.0333333
